"","participant","session","expName","psychopyVersion","block_num","trial_num","corr","resp","rt","task","magnitude","num_big","has_neg","block_type","stim_name","stim_spec","enc_stimname","corr_key","encret_corr"
"146","6",1,"RetGoals_V1","2022.2.4",7,4,0,1,0.843348244000424,"Encoding",NA,NA,NA,"10","Encod_Stim.097.jpeg","building","",2,1
"147","6",1,"RetGoals_V1","2022.2.4",7,4,1,4,0.0502363919999311,"External",2,8,NA,"10","ExAttn_Stim.097.jpeg","triangles","",4,NA
"148","6",1,"RetGoals_V1","2022.2.4",7,4,1,2,0.423727709000048,"Internal",12,NA,0,"10","InternTask.097.jpeg","addsub","",2,NA
"149","6",1,"RetGoals_V1","2022.2.4",8,4,0,3,0.316732590999834,"Retrieval",NA,NA,NA,"10","1_288.jpg","vehicle","Encod_Stim.288.jpeg",4,NA
"150","6",1,"RetGoals_V1","2022.2.4",8,4,1,2,0.839407773999426,"Encoding",NA,NA,NA,"10","Encod_Stim.072.jpeg","building","",2,1
"151","6",1,"RetGoals_V1","2022.2.4",8,4,0,3,0.20743701799978,"External",2,7,NA,"10","ExAttn_Stim.072.jpeg","triangles","",2,NA
"152","6",1,"RetGoals_V1","2022.2.4",8,4,0,2,0.766862608999816,"Internal",0,NA,0,"10","InternTask.072.jpeg","addadd","",3,NA
"153","6",1,"RetGoals_V1","2022.2.4",9,4,0,4,0.320969907999768,"Retrieval",NA,NA,NA,"10","1_261.jpg","building","Encod_Stim.261.jpeg",3,NA
"154","6",1,"RetGoals_V1","2022.2.4",9,4,1,3,0.352929771000106,"Encoding",NA,NA,NA,"10","Encod_Stim.232.jpeg","fruit","",3,1
"155","6",1,"RetGoals_V1","2022.2.4",9,4,1,3,0.469112071999859,"External",0,7,NA,"10","ExAttn_Stim.232.jpeg","stars","",3,NA
"156","6",1,"RetGoals_V1","2022.2.4",9,4,1,2,0.122826290000319,"Internal",3,NA,0,"10","InternTask.232.jpeg","subsub","",2,NA
"157","6",1,"RetGoals_V1","2022.2.4",10,4,1,3,0.304208004999907,"Retrieval",NA,NA,NA,"10","1_146.jpg","vehicle","Encod_Stim.146.jpeg",3,NA
"158","6",1,"RetGoals_V1","2022.2.4",10,4,0,NA,NA,"Encoding",NA,NA,NA,"10","Encod_Stim.264.jpeg","building","",3,0
"159","6",1,"RetGoals_V1","2022.2.4",10,4,1,4,0.222753423000484,"External",1,7,NA,"10","ExAttn_Stim.264.jpeg","diamonds","",4,NA
"160","6",1,"RetGoals_V1","2022.2.4",10,4,1,4,0.64314311100037,"Internal",2,NA,0,"10","InternTask.264.jpeg","subsub","",4,NA
"161","6",1,"RetGoals_V1","2022.2.4",1,5,0,1,0.550057672000037,"Retrieval",NA,NA,NA,"40","1_37.jpg","vehicle","Encod_Stim.037.jpeg",3,NA
"162","6",1,"RetGoals_V1","2022.2.4",1,5,1,4,0.31657723300026,"Encoding",NA,NA,NA,"40","Encod_Stim.163.jpeg","vehicle","",4,1
"163","6",1,"RetGoals_V1","2022.2.4",1,5,0,NA,NA,"External",0,5,NA,"40","ExAttn_Stim.163.jpeg","squares","",3,NA
"164","6",1,"RetGoals_V1","2022.2.4",1,5,1,2,1.13605133699997,"Internal",2,NA,0,"40","InternTask.163.jpeg","subadd","",2,NA
"165","6",1,"RetGoals_V1","2022.2.4",2,5,1,2,0.988191825000001,"Retrieval",NA,NA,NA,"40","1_115.jpg","fruit","Encod_Stim.115.jpeg",2,NA
